MainText,Phishing,Label,CleanText
"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: fritzclosets.com/PV06ExwSdV",0.0,ham,subject nosubject free msg bill paid march thanks heres little gift fritzclosetscompv06exwsdv
You'll get @ your package TODAY! http://www.webpage.ren/b/lc/? bfX.08&08z-mkq O A Text Message,0.0,ham,youll get package today httpwwwwebpagerenblc bfx0808zmkq text message
"Pending Delivery: Hi, your package containing tracking code 71623881LS5 is waiting for you to confirm the shipment address: holdingspothere.com/8930er",1.0,smish,pending delivery hi package containing tracking code 71623881ls5 waiting confirm shipment address holdingspotherecom8930er
"The ClassSuit TRIAL has ended and YOUR $19,038 settlement allocation is READY; CONGRATS to the People! settclss.com/Ccn26dr stop to end",0.0,ham,classsuit trial ended 19038 settlement allocation ready congrats people settclsscomccn26dr stop end
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: warrantgeneration.com/RsCoLlrDrs",0.0,ham,free msg bill paid march thanks heres little gift warrantgenerationcomrscollrdrs
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: unselfishdumplings.com/LKXH4N4WZ3",0.0,ham,free msg bill paid march thanks heres little gift unselfishdumplingscomlkxh4n4wz3
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: purposeliberals.com/yF70SNqOKV",0.0,ham,free msg bill paid march thanks heres little gift purposeliberalscomyf70snqokv
citii bank: Please visit here and complete your debit pin again: https://bit.ly/35Xs2rW,1.0,smish,citii bank please visit complete debit pin httpsbitly35xs2rw
http://gs80xb1u7wy5vb.deals,0.0,ham,httpgs80xb1u7wy5vbdeals
"U are selected for the Work from Home job offer receive your daily salary 2,666Tk, Contact WhatsApp http://www.cxes.click/2JkZZoeX ",0.0,ham,u selected work home job offer receive daily salary 2666tk contact whatsapp httpwwwcxesclick2jkzzoex
"Citi: We blocked your account due to unusual activity, please visit (www.citibankaccount.info) to verify your account. ",5.0,smish,citi blocked account due unusual activity please visit wwwcitibankaccountinfo verify account
It's Nicole again Office: 18665841391 It appears you may be eligible for compensation on your Injury. Can you give me a quick call please? - STOP to STOP,,ham,nicole office 18665841391 appears may eligible compensation injury give quick call please stop stop
[CITI Alert 05.02.2022] Debit card associated with Acct*8139 is locked. Vist bit.ly/89BNsg81289 at earliest convenience. Stop=end|Help=help,1.0,smish,citi alert 05022022 debit card associated acct8139 locked vist bitly89bnsg81289 earliest convenience stopendhelphelp
"Help us fight CORONAVIRUS by working from home - No experience required SMS sending JOB Work 2-3 hours daily on mobile and earn $5-$100 daily Click Here And Apply Now http://bit.ly/WHO-Jobs-Offer Vacancy till 31st march,2020",0.0,ham,help us fight coronavirus working home experience required sms sending job work 23 hours daily mobile earn 5100 daily click apply httpbitlywhojobsoffer vacancy till 31st march2020
Dear. You will be invited to the (BTC) internal discussion group. The group will post daily how to earn $500-15000USD in the crypto market. Reply: 1 and Click the link to enter: https://chat.whatsapp.com/E29ZpfVxDLCDU0lz6g5Pju,0.0,ham,dear invited btc internal discussion group group post daily earn 50015000usd crypto market reply 1 click link enter httpschatwhatsappcome29zpfvxdlcdu0lz6g5pju
https://saveonautocoverage3.me/1nhQEbD4FaH6 We may owe you as much as 779.04. A new finding may have caused us to charge you too much last year. Your savings is ready - ,0.0,ham,httpssaveonautocoverage3me1nhqebd4fah6 may owe much 77904 new finding may caused us charge much last year savings ready
"This is the Novel Coronavirus insurance service based on the current outbreak. The premium for COVID-19 insurance is $1,000. If you are diagnosed with COVID-19, you can get a lump sum of $30,000. In the case of home isolation or hospital isolation, you can get $300 per day for up to 21 days to consult Whatsapp:4423798151 ",,ham,novel coronavirus insurance service based current outbreak premium covid19 insurance 1000 diagnosed covid19 get lump sum 30000 case home isolation hospital isolation get 300 per day 21 days consult whatsapp4423798151
"Cloud mining platform: https://usdt777.vip Copy the website browser and open the registration to get $100 for free, which will be credited to the account in seconds. Participating in cloud mining can earn around $300-800 per day. Permanent income is guaranteed and risk free! Invite your friends to join and get great rewards ",0.0,ham,cloud mining platform httpsusdt777vip copy website browser open registration get 100 free credited account seconds participating cloud mining earn around 300800 per day permanent income guaranteed risk free invite friends join get great rewards
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: consensuscelebrated.com/5hTSjydwTh",7.0,smish,free msg bill paid march thanks heres little gift consensuscelebratedcom5htsjydwth
CITI Alerts - We have blocked access to your debit card due to unusual activity. Verify your details at citi-actvity.org,7.0,smish,citi alerts blocked access debit card due unusual activity verify details citiactvityorg
(DiscoverCard_Customer Servi ce#2627457643) You have a pending issue. please visit: http://r2s9hq82ne.mmnrxeqmcv.nikxc.org to resolve it.,0.0,ham,discovercardcustomer servi ce2627457643 pending issue please visit httpr2s9hq82nemmnrxeqmcvnikxcorg resolve
sexyjessie.us..*,0.0,ham,sexyjessieus
"Hi Andrew, this is Cess and this is my new number, Im here in the philippines now so text me back when you receive my message because im not quiet sure if i get your number right.  im sorry i got the wrong number i hope i didnt bother you 8:52 AM",,ham,hi andrew cess new number im philippines text back receive message im quiet sure get number right im sorry got wrong number hope didnt bother 852
"Hi Jim, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?",,ham,hi jim need lot precious metal raw materials project hand recently give price list
"Dear. You are invited to join the ""Bitcoin"" analysis group and join in the investment plan and earn 500-5K usd a day. Reply ""1"" and long press the link to join. https://chat.whatsapp.com/DzeAqjxgNbi6S4cuCFchXN",0.0,ham,dear invited join bitcoin analysis group join investment plan earn 5005k usd day reply 1 long press link join httpschatwhatsappcomdzeaqjxgnbi6s4cucfchxn
"Hi, Lucy. I'm Aisha. Do you remember me? Last time we met at an auction in Northern California.",,ham,hi lucy im aisha remember last time met auction northern california
Dale We are still in the market to buy your 2022 Buena Village Dr HOME. Our new OFFER value has increased! We can CLOSE in less than a week and you won't have any REALTOR fees. Please review 5dexqo.com/82a103 ,0.0,ham,dale still market buy 2022 buena village dr home new offer value increased close less week wont realtor fees please review 5dexqocom82a103
[U.S. Postal Service] We're sorry to let you know that your package could not be delivered. To reschedule a delivery please visit https://bit.ly/3NR5x9f Preview not available ,3.0,smish,us postal service sorry let know package could delivered reschedule delivery please visit httpsbitly3nr5x9f preview available
"Dear. You are invited to join the """"Bitc0in"""" analysis group and join in the investment plan and earn 500-5K usd a day. ðððPlease click the """"Link"""" below to joinððð\nhttps://chat.whatsapp.com/F6Wo68CcSRq88C9LSdsGcN",0.0,ham,dear invited join bitc0in analysis group join investment plan earn 5005k usd day ðððplease click link joinðððnhttpschatwhatsappcomf6wo68ccsrq88c9lsdsgcn
"Is this Vince's number, please?",,ham,vinces number please
From: NETFLIX Msg: NETFLIX monthly payment Unsuccesful and Your account is temporary Locked. See The Complete Details In The Attachment Below. Subscription-failed56756... Additional media content is included. Please check the message in detail,,ham,netflix msg netflix monthly payment unsuccesful account temporary locked see complete details attachment subscriptionfailed56756 additional media content included please check message detail
Are you Mr. Freddy? I'm Alice and I'm not sure if the number is correct,,ham,mr freddy im alice im sure number correct
click the link to Upgrade Your Wells Fargo Account web:https://express.adobe.com/page/IkvuZSZq2z1lj/,0.0,ham,click link upgrade wells fargo account webhttpsexpressadobecompageikvuzszq2z1lj
REGIONSBANK - Our team locked your debit on July 15th. Please visit: Regions-PROTECT.com to unlock it. Reply STOP to OPT OUT,1.0,smish,regionsbank team locked debit july 15th please visit regionsprotectcom unlock reply stop opt
"Dear 02055666420friend, Bitcoin Trading Study Group : https://rebrand.ly/v7qj08h ",1.0,smish,dear 02055666420friend bitcoin trading study group httpsrebrandlyv7qj08h
(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by https://wa.me/+639162024192,0.0,ham,1 u usdt 2 u invest register 3 u participate send message httpswame639162024192
Dale SAFEDRIVERALERT: It looks like you were over charged on yourAutOPOlicy. It's not too late to-apply SAFEDRIVERDISCOUNTPERKS and getREIMBURSED. kzrp1h.com/bff4948af7 ,0.0,ham,dale safedriveralert looks like charged yourautopolicy late toapply safedriverdiscountperks getreimbursed kzrp1hcombff4948af7
"Unusual Activity : We've suspend your Amazon account due to unusual activity. Login attempt blocked from : Mozilla Firefox 8.7 [168.254.81.174 - Turkey] Our system has suspend your Amazon account for security reasons. To unlock your Amazon account, please verify with link below: http://www.xprswebsite.com/free/userf111/redirf111/?=5826865 You need to take action within 2 days before account will be suspended. Regards, Amazon Teams",3.0,smish,unusual activity weve suspend amazon account due unusual activity login attempt blocked mozilla firefox 87 16825481174 turkey system suspend amazon account security reasons unlock amazon account please verify link httpwwwxprswebsitecomfreeuserf111redirf1115826865 need take action within 2 days account suspended regards amazon teams
"[Postal Service] - Due to address is incorrect. The package cannot be delivered, please follow the link to update the correct address. https://upspups.com",4.0,smish,postal service due address incorrect package delivered please follow link update correct address httpsupspupscom
ALERT: Your Bank of America Prepaid EDD Debit Card has been blocked due to unusual activity. To reactivate your Bank of America Prepaid EDD Debit Card kindly visit us at http//:boaeddprepaidservices.com,1.0,smish,alert bank america prepaid edd debit card blocked due unusual activity reactivate bank america prepaid edd debit card kindly visit us httpboaeddprepaidservicescom
Wells Fargo ALRT: Account locked due to unusual activity. You will still be able to deposit funds into your Wells Fargo account(s). Visit link to remove hold: https://wfveri-info.com,7.0,smish,wells fargo alrt account locked due unusual activity still able deposit funds wells fargo accounts visit link remove hold httpswfveriinfocom
CITIZENSBANK- A charge of $472.20 is on hold. Reply YES to process. Not you? Visit citizens-security01.com before August 11 Reply Opt-out to pause Alerts.,1.0,smish,citizensbank charge 47220 hold reply yes process visit citizenssecurity01com august 11 reply optout pause alerts
CVS offers more than simply fantastic prices. You have a lot of opportunities today to receive up to $100. http://prettyplump.directory/DFzOyZtj,0.0,ham,cvs offers simply fantastic prices lot opportunities today receive 100 httpprettyplumpdirectorydfzoyztj
"CHASE BANK ALERT: We detected an unusual attempt at 30 mall Dr unit OBO4 Jersey City, NJ 07310 if this was not you please use the secured link to verify your identity and secure your account: https://secur06-chase-verify.my03.com/?Verify",1.0,smish,chase bank alert detected unusual attempt 30 mall dr unit obo4 jersey city nj 07310 please use secured link verify identity secure account httpssecur06chaseverifymy03comverify
WF Fraud Alerts: We noticed unusual activities on your account. Please confirm the activities at WellsfargoVerify.com/act to make it secure.,3.0,smish,wf fraud alerts noticed unusual activities account please confirm activities wellsfargoverifycomact make secure
USPService: We could not ship your package for address issue. Your need to confirm your address to ensure the delivery. https://s.id/1fXBI,0.0,ham,uspservice could ship package address issue need confirm address ensure delivery httpssid1fxbi
Home Depot Offer + E$ http://flatterlaud.cricket/0VH9A5,0.0,ham,home depot offer e httpflatterlaudcricket0vh9a5
regions: Your debit has been barred from use due to unusual behavior. Go to https://www.assistance-usrprocess.com your details to reactivate,3.0,smish,regions debit barred use due unusual behavior go httpswwwassistanceusrprocesscom details reactivate
Quick freebies from Home Depot! http://surveysens.yokohama/9vePTP,0.0,ham,quick freebies home depot httpsurveysensyokohama9veptp
Dad just left you a package. He said he came from Cost co cause they're handing out money to their customers today. Do you wanna try and see if we can do it too? He said we'd have to start here. http://indianelder.business/hBF734,0.0,ham,dad left package said came cost co cause theyre handing money customers today wan na try see said wed start httpindianelderbusinesshbf734
Cash payouts by HomeDepot http://apartnerve.florist/Qd8qKU,0.0,ham,cash payouts homedepot httpapartnervefloristqd8qku
Gift Card Offer by Home Depot http://leaseill.associates/b42TrX,0.0,ham,gift card offer home depot httpleaseillassociatesb42trx
<#>Bofa.EDD: Your EDD account is temporarily on hold. You must confirm your recent activity to continue using your account http://processingprotection.me/JaZcP,0.0,ham,bofaedd edd account temporarily hold must confirm recent activity continue using account httpprocessingprotectionmejazcp
CA SERVICE DEPT [EDD]: Your EDD Card Has Been Temporarily Suspended. To Prevent Account Closure Please visit: http://eddphelp.info Reply STOP To Opt-Out.,0.0,ham,ca service dept edd edd card temporarily suspended prevent account closure please visit httpeddphelpinfo reply stop optout
Instant freebies from HomeDepot! http://rgjgj.capital/i16nf0 ,0.0,ham,instant freebies homedepot httprgjgjcapitali16nf0
1 of 2 FRM:GetaPrizeBrand.com sms_id_YBJ431 MSG: Since youre a appreciated customer of Home Depot we have a gift valued at $100 dedicated to you (Con't 2 of 2 for your time. Just acknowledge this three question survey and you'll be compensated. sms_id_YBJ431| (End),0.0,ham,1 2 frmgetaprizebrandcom smsidybj431 msg since youre appreciated customer home depot gift valued 100 dedicated cont 2 2 time acknowledge three question survey youll compensated smsidybj431 end
BOFA_EDD_DEBIT_CARD: Your card starting with 4427*** has been temporarily blocked. Unblock card at :  https://unblockbofaeddprepaid.meeha.com.bd/asdfghjkl.html,1.0,smish,bofaedddebitcard card starting 4427 temporarily blocked unblock card httpsunblockbofaeddprepaidmeehacombdasdfghjklhtml
E.D.D.DEBIT-VISA-CARD:Your card has been disabled. Re-enable it at https://romualdo.exe.it/AKARA.html to keep it intact.,1.0,smish,edddebitvisacardyour card disabled reenable httpsromualdoexeitakarahtml keep intact
FRM:1B|UPS-ZOF05 SUBJ:www.pyr-upsi.website//isr1i2pF19389# MSG::KUO4alLsdi-a ,0.0,ham,frm1bupszof05 subjwwwpyrupsiwebsiteisr1i2pf19389 msgkuo4allsdia
"Your BOA Unemployment card is having irregular activities. New Login detected. If this wasn't you, follow steps: ee2r.info",0.0,ham,boa unemployment card irregular activities new login detected wasnt follow steps ee2rinfo
If you have ever been to Cost co you qualify for this amazing give-a-way http://pricesever.financial/j07mFgmb,0.0,ham,ever cost co qualify amazing giveaway httppriceseverfinancialj07mfgmb
Dr Oz Secret CBD for Dick Gains http://fireelse.community/nm6pkc ,0.0,ham,dr oz secret cbd dick gains httpfireelsecommunitynm6pkc
Hi poelacnewu33sdf.us ,0.0,ham,hi poelacnewu33sdfus
"Your paymen.t for la.st month was pa.id. Thank you, this is a sur.prise p.resent for you: W3NGZ.COM/6blDog8jzc",0.0,ham,payment last month paid thank surprise present w3ngzcom6bldog8jzc
Important Update: You got 24 Hours left to reserve the iPad Pro which you Won in September: disciplepurse.com/HvMe3JH ,0.0,ham,important update got 24 hours left reserve ipad pro september disciplepursecomhvme3jh
"Hi, it's AT&T. Great news! You've paid off at least 50% of your current phone. If you're interested in learning about our offer on the iPhone 13 Pro Max, reply YES to receive details. ",,ham,hi att great news youve paid least 50 current phone youre interested learning offer iphone 13 pro max reply yes receive details
Earn Home Depot $100 Gift Card http://abusenat.associates/mKd6NG,0.0,ham,earn home depot 100 gift card httpabusenatassociatesmkd6ng
<#>Bank of America: Accept the updated terms. https://cp2we.app.link/iur,7.0,smish,bank america accept updated terms httpscp2weapplinkiur
CVS: Your number was invited with 798 others to redeem a prize. Answer our quick survey before the next 6 hours to reserve yours igyre.cc/Kky7RkR,0.0,ham,cvs number invited 798 others redeem prize answer quick survey next 6 hours reserve igyrecckky7rkr
Wells Fargo Bank: Account is suspended due to recent database breach for safety. Click https://poiasj5.cf/wellsfargo.com/?restore to reactivate.,5.0,smish,wells fargo bank account suspended due recent database breach safety click httpspoiasj5cfwellsfargocomrestore reactivate
"Citi Alert: You recently requested a transfer to a new external account (CHK ACC: XXXX7433), if this was NOT you. Cancel immediately at: https://citi-06.com",0.0,ham,citi alert recently requested transfer new external account chk acc xxxx7433 cancel immediately httpsciti06com
"EDD Bofa Alerts: For your security hold has been placed on your unemployment insurance card, due to identity theft: visit gps.ru/98hXb to remove the hold",1.0,smish,edd bofa alerts security hold placed unemployment insurance card due identity theft visit gpsru98hxb remove hold
"You have filled in an incorrect delivery address, please update your address to the post office. https://usa-exchange-us.com",6.0,smish,filled incorrect delivery address please update address post office httpsusaexchangeuscom
Monthly GiveAway by Home Depot http://marginaljo.shopping/v3E6qB,0.0,ham,monthly giveaway home depot httpmarginaljoshoppingv3e6qb
Votre colis a été envoyé. Veuillez le vérifier et le recevoir. http://fotag.xpddg.com ,0.0,ham,votre colis été envoyé veuillez le vérifier et le recevoir httpfotagxpddgcom
"Your Prepaid EDD account status has been restricted, please update your information to keep your account by visiting http://eddbofaprocess.info",0.0,ham,prepaid edd account status restricted please update information keep account visiting httpeddbofaprocessinfo
"For Cost co, loyalty is everything. We are prepared to pay $40 per minute for your opinion and are in need of it. http://wealthaccept.financial/94T4CvdP",0.0,ham,cost co loyalty everything prepared pay 40 per minute opinion need httpwealthacceptfinancial94t4cvdp
iPad Pro for CID#24355 https::http://cyntrothm.shop/ipadP.php ,0.0,ham,ipad pro cid24355 httpshttpcyntrothmshopipadpphp
Congratulation CID#896904 An Exclusive Reward From AT&T is waiting For You Claim it here http://zireesso.shop/cl/5233_md/555/57333/1230/70/53367 ,0.0,ham,congratulation cid896904 exclusive reward att waiting claim httpzireessoshopcl5233md5555733312307053367
Votre colis a été envoyé. Veuillez le vérifier et le recevoir. http://tbmuy.ncmie.com,1.0,smish,votre colis été envoyé veuillez le vérifier et le recevoir httptbmuyncmiecom
"Votre solde CPF est arrivé a échéance. Veuillez remplir le formulaire ci-dessous sous 24h, pour convertir vos droits acquis en 2021 https://bit.ly/3v9zXuH O°",0.0,ham,votre solde cpf est arrivé échéance veuillez remplir le formulaire cidessous sous 24h pour convertir vos droits acquis en 2021 httpsbitly3v9zxuh o°
$80 Gift Card - HomeDepot Survey http://esteemcomm.shopping/vtsk9N,0.0,ham,80 gift card homedepot survey httpesteemcommshoppingvtsk9n
Y.our in.voice for la.st mo.nth was p.aid. Thanks.. he.re's our small pres.ent fo.r u: uEZF2.Com/GDI2hthgG1,0.0,ham,invoice last month paid thanks heres small present u uezf2comgdi2hthgg1
BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at https://sec03boa.com/bRZQK to prevent identity theft. ,8.0,smish,boa online profile probable association system vulnerability log verify details httpssec03boacombrzqk prevent identity theft
Get $100 Reward from HomeDepot http://summe.shopping/Hhj0J3 ,0.0,ham,get 100 reward homedepot httpsummeshoppinghhj0j3
FRM:gP8e_-UPS-NFIGe SUBJ:www.92wbj4jzupst.com//49epb8Rw17003# MSG: :IsEqWKMBuM-a4,0.0,ham,frmgp8eupsnfige subjwww92wbj4jzupstcom49epb8rw17003 msg iseqwkmbuma4
"1 of 2 FRM:30533 SUBJ:9/17/2022 4:08:58 PM MSG:Wells Fargo SecurityCenter Critical notification! Please follow the link, for more details: (Con't) 2 of 2 https://docs.google.com/forms/d/e/1FAlpQLSeUlz-jIFAYDmtl2s9pEJSgVUHX_S33qw9twmXUqoO7_OCLkw/viewform?usp=sf_link?WuRW ERROR-051178 (End)",0.0,ham,1 2 frm30533 subj9172022 40858 pm msgwells fargo securitycenter critical notification please follow link details cont 2 2 httpsdocsgooglecomformsde1falpqlseulzjifaydmtl2s9pejsgvuhxs33qw9twmxuqoo7oclkwviewformuspsflinkwurw error051178 end
CVS has more than just great deals! Today we have great chances for you to get up to 100$. http://catchingbudding.directory/8BWT1REM,0.0,ham,cvs great deals today great chances get 100 httpcatchingbuddingdirectory8bwt1rem
You.r paymen.t for Septemb.er is received. Thanks! this is o.ur tiny pre.sent for you: f4RSX.COM/8vxyyUpY4d ,0.0,ham,payment september received thanks tiny present f4rsxcom8vxyyupy4d
BANKOFAMERICA[EDD] - We encountered a failure in processing your WEEKLY BENEFITS. Visit: BankOfAmericaDebit05.com Error -8097 REPLY STOP TO OPT OUT ,7.0,smish,bankofamericaedd encountered failure processing weekly benefits visit bankofamericadebit05com error 8097 reply stop opt
"Obtain $100. EASY! You just need to provide some information, and you'll soon be rich! http://obliquerupture.directory/rvgFs6Ae",0.0,ham,obtain 100 easy need provide information youll soon rich httpobliquerupturedirectoryrvgfs6ae
"[US POSTAL] Package cannot be delivered due to mismatching address, please correct on postalportal.site to recieve ",2.0,smish,us postal package delivered due mismatching address please correct postalportalsite recieve
took this quiz and got 90 bucks. my bro told me to tell you. http://denywhence.network/DOqxdH9d ,0.0,ham,took quiz got 90 bucks bro told tell httpdenywhencenetworkdoqxdh9d
BANKOFAMERlCA[EDD]- We encountered a failure in processing your WEEKLY BENEFlTS. Visit: BankOfAmericaDebit05.com Error - 8097 REPLY STOP TO OPT OUT,8.0,smish,bankofamerlcaedd encountered failure processing weekly beneflts visit bankofamericadebit05com error 8097 reply stop opt
FRM:AugustSurveys.com sms_id*NHR397 MSG:Since you are a appreciated customer of Costco we have a donation valued at $100 dedicated to you (Con't 2 of 2 for your efforts. Just respond to this two question survey and youll be compensated. [link] (End),0.0,ham,frmaugustsurveyscom smsidnhr397 msgsince appreciated customer costco donation valued 100 dedicated cont 2 2 efforts respond two question survey youll compensated link end
Cost co is acknowledging you as top tier shopper. There are 3 devices for you to pick from http://neckadvice.financial/PWvk1Wpa ,0.0,ham,cost co acknowledging top tier shopper 3 devices pick httpneckadvicefinancialpwvk1wpa
"Navy Federal CU: You have successfully signed on from IP 52.203.18.141 (Ashburn VA, USA). If this wasn't you, visit nfcualert.site ",0.0,ham,navy federal cu successfully signed ip 5220318141 ashburn va usa wasnt visit nfcualertsite
"Walgreens: You're being randomly given, as 1 of 613 people, 1 reward by filling in a brief survey. Reward ends in 5 hours vnnim.cc/mNGtaOl O",0.0,ham,walgreens youre randomly given 1 613 people 1 reward filling brief survey reward ends 5 hours vnnimccmngtaol
Wells Fargo Bank: Account blocked due to suspicious fraud attempts. Click https://oasioa.cf/wellsfargo.com/?restore to reactivate account.,1.0,smish,wells fargo bank account blocked due suspicious fraud attempts click httpsoasioacfwellsfargocomrestore reactivate account
FRM:KemH_-UPS-10esF SUBJ:www.nibtt9-upse.us//vofxbnno224123# MSG: :3lq9DWaATI-a,0.0,ham,frmkemhups10esf subjwwwnibtt9upseusvofxbnno224123 msg 3lq9dwaatia
Your invo.ice fo.r Septe.mber was p.aid. Than.ks. h.ere's our t.iny pr.esent f.or u: du9k3.com/rvirONcqBD,0.0,ham,invoice september paid thanks heres tiny present u du9k3comrvironcqbd
